frame,dist_read,disk_write,rate
456,3923,1239,0.0039
457,3913,1238,0.0039
458,3905,1234,0.0039
459,3899,1234,0.0039
460,3894,1234,0.0039
461,3891,1234,0.0039
462,3886,1233,0.0039
463,3880,1231,0.0039
464,3876,1231,0.0039
465,3871,1229,0.0039
466,3864,1227,0.0039
467,3858,1224,0.0039
468,3854,1221,0.0039
469,3847,1219,0.0038
470,3841,1218,0.0038
471,3835,1214,0.0038
472,3830,1211,0.0038
473,3821,1207,0.0038
474,3818,1206,0.0038
475,3817,1205,0.0038
476,3814,1204,0.0038
477,3807,1203,0.0038
478,3805,1201,0.0038
479,3800,1200,0.0038
480,3795,1200,0.0038
481,3787,1199,0.0038
482,3785,1199,0.0038
483,3778,1198,0.0038
484,3770,1197,0.0038
485,3765,1197,0.0038
486,3760,1193,0.0038
487,3757,1192,0.0038
488,3752,1191,0.0038
489,3750,1191,0.0037
490,3747,1190,0.0037
491,3742,1187,0.0037
492,3738,1187,0.0037
493,3731,1186,0.0037
494,3728,1185,0.0037
495,3722,1184,0.0037
496,3719,1182,0.0037
497,3713,1179,0.0037
498,3709,1179,0.0037
499,3703,1177,0.0037
500,3700,1177,0.0037
501,3694,1175,0.0037
502,3689,1174,0.0037
503,3686,1174,0.0037
504,3681,1173,0.0037
505,3676,1172,0.0037
506,3669,1169,0.0037
507,3664,1166,0.0037
508,3655,1165,0.0037
509,3651,1165,0.0037
510,3643,1162,0.0036
511,3638,1159,0.0036
512,3632,1159,0.0036
513,3627,1157,0.0036
514,3620,1157,0.0036
515,3615,1157,0.0036
516,3612,1155,0.0036
517,3608,1155,0.0036
518,3604,1155,0.0036
519,3597,1153,0.0036
520,3592,1152,0.0036
521,3590,1152,0.0036
522,3584,1151,0.0036
523,3580,1151,0.0036
524,3579,1151,0.0036
525,3575,1150,0.0036
526,3572,1148,0.0036
527,3566,1147,0.0036
528,3562,1146,0.0036
529,3559,1145,0.0036
530,3551,1142,0.0036
531,3544,1141,0.0035
532,3536,1141,0.0035
533,3525,1136,0.0035
534,3520,1134,0.0035
535,3517,1133,0.0035
536,3511,1128,0.0035
537,3509,1127,0.0035
538,3504,1127,0.0035
539,3494,1125,0.0035
540,3493,1124,0.0035
541,3487,1122,0.0035
542,3481,1121,0.0035
543,3475,1120,0.0035
544,3471,1119,0.0035
545,3468,1118,0.0035
546,3464,1117,0.0035
547,3461,1117,0.0035
548,3458,1117,0.0035
549,3452,1115,0.0035
550,3449,1115,0.0034
551,3446,1115,0.0034
552,3441,1113,0.0034
553,3437,1113,0.0034
554,3433,1110,0.0034
555,3432,1109,0.0034
556,3430,1109,0.0034
557,3429,1109,0.0034
558,3428,1108,0.0034
559,3424,1106,0.0034
560,3420,1105,0.0034
561,3414,1103,0.0034
562,3409,1102,0.0034
563,3407,1102,0.0034
564,3400,1100,0.0034
565,3394,1099,0.0034
566,3390,1099,0.0034
567,3388,1097,0.0034
568,3385,1096,0.0034
569,3382,1095,0.0034
570,3378,1095,0.0034
571,3378,1095,0.0034
572,3373,1092,0.0034
573,3368,1091,0.0034
574,3365,1090,0.0034
575,3364,1089,0.0034
576,3360,1089,0.0034
577,3358,1089,0.0034
578,3357,1089,0.0034
579,3355,1089,0.0034
580,3354,1088,0.0034
581,3347,1085,0.0033
582,3346,1085,0.0033
583,3343,1084,0.0033
584,3338,1082,0.0033
585,3334,1078,0.0033
586,3329,1077,0.0033
587,3324,1077,0.0033
588,3320,1074,0.0033
589,3313,1071,0.0033
590,3308,1069,0.0033
591,3306,1068,0.0033
592,3304,1067,0.0033
593,3303,1066,0.0033
594,3301,1064,0.0033
595,3301,1063,0.0033
596,3301,1063,0.0033
597,3298,1062,0.0033
598,3294,1062,0.0033
599,3292,1060,0.0033
600,3286,1060,0.0033
